propuestas,organizador,facultad,nombre
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Físicas y Matemáticas Universidad de Huelva","Ciriaco Mohamed Manzano Fajardo",Comunicación,"Universidad de Oviedo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Odontología Universidad Autónoma de Barcelona","Ximena Catalina Becerra Alonso",Odontología,"Universidad de Navarra"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Medicina Universidad de Salamanca","Natividad Bertrán Arenas",Filosofía,"Universidad Autónoma de Madrid"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad Abad Oliva CEU","Jacinto Sedano-Giralt",Odontología,"Universidad Internacional de la Empresa"
"Quitar las tarifas de pago en el parking de estudiantes Derecho Universidad de Mondragón","Jose Ramón Hurtado Bustamante",Humanidades,"Universidad de Almería"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Medicina Universidad de Córdoba","Jovita Pol Santamaria","Ciencias de la Educación","Universidad de León"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Odontología Universidad de Extremadura","María Luisa Méndez Villegas","Ciencias Físicas y Matemáticas","Universidad Católica San Antonio"
"Quitar las tarifas de pago en el parking de estudiantes Derecho Universidad Eclesiástica San Dámaso","Rodolfo Guijarro",Derecho,"Universidad Intercontinental de la Empresa"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad a Distancia de Madrid","Mercedes Bolaños Iglesia",Odontología,"Universidad de Mondragón"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad Pública de Navarra","Graciela Gómez Cabrero","Ciencias Exactas","Universidad de Navarra"
"Mejorar Instalaciones deportivas facultad de Filosofía Universidad de Jaén","Hilario Valdés Bustamante",Diseño,"Universidad Internacional Menéndez Pelayo"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Filosofía Universidad Eclesiástica San Dámaso","Epifanio Santiago Andrade",Psicología,"Universidad Europea de Valencia"
"Mejorar Instalaciones deportivas facultad de Educación Física Universidad de Oviedo","Teo de Roig",Matemática,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ingeniería Universidad de Salamanca","Leopoldo Alemany Pla",Matemática,"Universidad Pompeu Fabra"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Sociales Universidad Pompeu Fabra","Pili Falcón",Psicología,"Universidad Antonio de Nebrija"
"Quitar las restricciones al acceso a instalaciones deportivas Comunicación Universidad de Málaga","Zoraida Pol Heredia",Agronomía,"Universidad Internacional Isabel I de Castilla"
"Quitar las restricciones al acceso a instalaciones deportivas Odontología Universidad Politécnica de Cataluña","Clotilde Cabezas Sacristán",Filosofía,"Universidad de Valladolid"
"Mejorar Instalaciones deportivas facultad de Ciencias de la Salud ESIC Universidad","Clarisa Benavent-Alcalá","Ciencias Exactas","Universidad Internacional de Valencia"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Educación Física Universidad Abierta de Cataluña","Loreto del Caro",Matemática,"Universidad Antonio de Nebrija"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad de Sevilla","Candelas de Carbó","Ciencias Sociales","Universidad de Cantabria"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Diseño Universidad Internacional de Cataluña","Asdrubal Llanos Falcón",Veterinaria,"Universidad Pública de Navarra"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química CUNEF Universidad","Germán Valera-Macias",Química,"Universidad Loyola Andalucía"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Exactas Universidad Francisco de Vitoria","Julia Ponce",Información,"Universidad de Valladolid"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Diseño Universidad Católica San Antonio","África Giménez Leal",Derecho,"Universidad Camilo José Cela"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Exactas Universidad Carlos III de Madrid","Mariana Albero Cáceres",Ingeniería,"Universidad Internacional Menéndez Pelayo"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Salud Universidad de Barcelona","Dulce Casals Cases",Medicina,"Universidad de Santiago de Compostela"
"Quitar las restricciones al acceso a instalaciones deportivas Medicina Universidad Europea Miguel de Cervantes","Cirino Soria Sandoval",Agronomía,"Universidad Nacional de Educación a Distancia"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ingeniería Universidad Antonio de Nebrija","Perlita Marquez Gámez",Ingeniería,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Información Universidad de Diseño, Innovación y Tecnología","Anastasia de Bermúdez",Diseño,"Universidad del País Vasco"
"Quitar las restricciones al acceso a instalaciones deportivas Medicina Universidad de Sevilla","Hortensia Patiño Sanmiguel",Odontología,"Universidad Carlos III de Madrid"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias de la Salud Universidad Rovira i Virgili","Glauco Batalla Andres",Comunicación,"Universidad de Valencia"
"Mejorar Instalaciones deportivas facultad de Veterinaria ESIC Universidad","Reinaldo Benavides Busquets","Ciencias de la Salud","Universidad de Navarra"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad San Jorge","Lalo Mayo Calvet","Ciencias Físicas y Matemáticas","Universidad Miguel Hernández de Elche"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Matemática Universidad Internacional de la Empresa","Sarita Vidal Blázquez",Agronomía,"Universidad de Extremadura"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Económicas Universidad Abad Oliva CEU","Encarnita Márquez Querol",Arquitectura,"Universidad de Navarra"
"Quitar las restricciones al acceso a instalaciones deportivas Educación Física Universidad Pública de Navarra","Begoña Escamilla Tomé",Odontología,"Universidad de La Laguna"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Salud Universidad Abierta de Cataluña","Adelardo Pujol Bustamante","Ciencias Físicas y Matemáticas","Universidad de Murcia"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad Internacional de Andalucía","Adora Elisa Trujillo Salgado",Arquitectura,"Universidad de Granada"
"Quitar las tarifas de pago en el parking de estudiantes Arquitectura Universidad de Córdoba","Agustina Noguera Cerro",Humanidades,"Universidad de Valencia"
"Mejorar Instalaciones deportivas facultad de Odontología Universidad San Jorge","Norberto Escudero Roselló","Ciencias Económicas","Universidad de las Islas Baleares"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Exactas Universidad Nacional de Educación a Distancia","Maite Valdés Amat",Medicina,"Universidad de Santiago de Compostela"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Medicina Universidad de La Coruña","Luz Grande",Diseño,"Universidad de Santiago de Compostela"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Agronomía CUNEF Universidad","Roldán Amando Gracia Izaguirre",Odontología,"Universidad de Cantabria"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Filosofía Universidad de Granada","Josefa Benitez Muro",Veterinaria,"Universidad de Burgos"
"Mejorar Instalaciones deportivas facultad de Ciencias de la Salud Universidad de Zaragoza","Nadia del Santamaria",Comunicación,"Universidad de Almería"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Filosofía Universidad de Barcelona","Hermenegildo Emilio Martinez Bolaños",Comunicación,"Universidad de Alcalá"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Veterinaria Universidad Católica de Valencia San Vicente Mártir","Azahara de Pedraza",Odontología,"Universidad de Alicante"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Exactas Universidad Autónoma de Barcelona","Juanito Amores Torrijos","Ciencias Sociales","Universidad Politécnica de Valencia"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Físicas y Matemáticas Universidad Internacional de Andalucía","Feliciana Amaya Marquez","Ciencias Sociales","Universidad Internacional de Andalucía"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Matemática Universidad Autónoma de Madrid","Yago Escolano Ribas","Ciencias de la Educación","Universidad Carlos III de Madrid"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Derecho Universidad de Salamanca","Gastón Cornelio Saavedra Julián","Ciencias Económicas","Universidad Internacional Villanueva"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Medicina Universidad de las Islas Baleares","Hilario Julián Pina Higueras",Diseño,"Universidad de Navarra"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Económicas Universidad Internacional de Cataluña","Federico Lastra Sales",Comunicación,"Universidad Católica San Antonio"
"Mejorar Instalaciones deportivas facultad de Agronomía Universidad Internacional de Cataluña","Onofre Capdevila-Rey",Veterinaria,"Universidad Nacional de Educación a Distancia"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Filosofía Universidad Abad Oliva CEU","Elías Rodriguez Julián",Arquitectura,"Universidad de Salamanca"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Físicas y Matemáticas Universidad Intercontinental de la Empresa","Pascual Amílcar Pino Batalla","Ciencias Económicas","Universidad a Distancia de Madrid"
"Mejorar Instalaciones deportivas facultad de Agronomía Universidad de León","Perla Mayoral Manuel",Humanidades,"Universidad de Sevilla"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad Internacional de Valencia","Noa Gimenez Flor",Ingeniería,"Universidad de Las Palmas de Gran Canaria"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad de Castilla-La Mancha","Ale del Iborra",Ingeniería,"Universidad Politécnica de Cataluña"
"Quitar las restricciones al acceso a instalaciones deportivas Filosofía Universidad Internacional de la Empresa","Joaquina Alfaro Calderon",Veterinaria,"Universidad de Vigo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Derecho Universidad de Deusto","Elpidio Piñeiro Planas",Comunicación,"Universidad de Barcelona"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Psicología Universidad Alfonso X el Sabio","Albano Melero Figueroa","Ciencias Económicas","Universidad CEU Cardenal Herrera"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias de la Educación Universidad CEU San Pablo","Cristóbal Cepeda Tomé",Humanidades,"Universidad Pablo de Olavide"
"Mejorar Instalaciones deportivas facultad de Humanidades Universidad de Alicante","Verónica Aroca Ruano",Psicología,"Universidad CEU Cardenal Herrera"
"Mejorar Instalaciones deportivas facultad de Ciencias Sociales Universidad CEU San Pablo","Macario Calderón Lumbreras",Agronomía,"Universidad Rey Juan Carlos"
"Mejorar Instalaciones deportivas facultad de Educación Física Universidad de Huelva","Donato Morata",Filosofía,"Universidad de Murcia"
"Mejorar Instalaciones deportivas facultad de Agronomía Universidad Católica San Antonio","Luisina Quintero-Herrero",Información,"Universidad Autónoma de Barcelona"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias de la Salud Universidad Autónoma de Madrid","Eusebio Vara Contreras",Derecho,"Universidad de León"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Sociales Universidad Católica Santa Teresa de Jesús de Ávila","Rómulo Clemente Ibañez Roura","Ciencias Sociales","Universidad de Alcalá"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad de Cantabria","Leoncio Ropero Amorós",Filosofía,"Universidad de Oviedo"
"Mejorar Instalaciones deportivas facultad de Humanidades Universidad Europea de Valencia","Marcela Valenciano",Arquitectura,"Universidad de Alcalá"
"Quitar las tarifas de pago en el parking de estudiantes Derecho Universidad de Huelva","Candela Esperanza Campoy Aguilar","Ciencias Sociales","Universidad de Zaragoza"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Educación Universidad Intercontinental de la Empresa","Julio Palau Iglesia",Filosofía,"Universidad Internacional de Andalucía"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad Pontificia Comillas","Eric de Bru",Información,"Universidad San Jorge"
"Quitar las restricciones al acceso a instalaciones deportivas Agronomía Universidad Católica Santa Teresa de Jesús de Ávila","Francisca Pedrero Redondo",Agronomía,"Universidad de Cádiz"
"Mejorar Instalaciones deportivas facultad de Comunicación Universidad Antonio de Nebrija","Juana Salinas Silva","Ciencias Económicas","Universidad Eclesiástica San Dámaso"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Diseño CUNEF Universidad","Fabiana Frías Juliá",Humanidades,"Universidad de Almería"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Filosofía Universidad de León","Rolando Chico Amador",Diseño,"Universidad Eclesiástica San Dámaso"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Sociales Universidad Pablo de Olavide","Almudena Vilanova Novoa",Arquitectura,"Universidad Complutense de Madrid"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química Universidad de Valladolid","Rosalinda Gilabert Amaya",Psicología,"Universidad de Navarra"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Salud Universidad CEU San Pablo","Julio Pou","Educación Física","Universidad Politécnica de Madrid"
"Quitar las restricciones al acceso a instalaciones deportivas Química Universidad Ramon Llull","Duilio Costa Ledesma","Ciencias Económicas","Universidad Internacional Isabel I de Castilla"
"Mejorar Instalaciones deportivas facultad de Odontología Universidad Alfonso X el Sabio","Jose Ramón Clemente Donoso","Ciencias de la Salud","Universidad de La Coruña"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad de Málaga","Jose Miguel Neira-Merino",Química,"Universidad a Distancia de Madrid"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Derecho Universidad de La Rioja","Encarna Carlos",Diseño,"Universidad de León"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias de la Salud Universidad de Huelva","Toño Córdoba Iriarte","Educación Física","Universidad Internacional de Valencia"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad de Castilla-La Mancha","Ariel Mamen Noguera Cervera",Diseño,"Universidad CEU Cardenal Herrera"
"Quitar las tarifas de pago en el parking de estudiantes Psicología Universidad Pontificia Comillas","Julie Lloret","Ciencias de la Educación","Universidad de Almería"
"Quitar las tarifas de pago en el parking de estudiantes Veterinaria Universidad de Zaragoza","Viviana Trujillo Riera",Filosofía,"Universidad de Cádiz"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad de Deusto","Celestino Alsina Perea",Química,"Universidad Abad Oliva CEU"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Veterinaria Universidad Fernando III","Luis Ángel Garriga Nevado",Arquitectura,"Universidad Pompeu Fabra"
"Quitar las restricciones al acceso a instalaciones deportivas Comunicación Universidad Católica de Valencia San Vicente Mártir","Urbano Almansa",Comunicación,"Universidad de León"
"Quitar las restricciones al acceso a instalaciones deportivas Ingeniería Universidad Europea de Valencia","Montserrat Rosalía Solé Avilés",Medicina,"Universidad de Gerona"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Físicas y Matemáticas Universidad Fernando Pessoa-Canarias","Maribel Tenorio Álamo",Química,"Universidad de Córdoba"
"Mejorar Instalaciones deportivas facultad de Ciencias Sociales Universidad de Almería","Nando Querol Ibáñez",Derecho,"Universidad de Cantabria"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Físicas y Matemáticas Universidad de Castilla-La Mancha","Araceli del Mosquera","Ciencias Exactas","Universidad de Murcia"
"Quitar las tarifas de pago en el parking de estudiantes Odontología Universidad Jaime I","Octavio Barroso Chacón",Matemática,"Universidad de La Rioja"
"Quitar las tarifas de pago en el parking de estudiantes Psicología Universidad Fernando Pessoa-Canarias","Noa Agullo",Diseño,"Universidad de Vigo"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Económicas Universidad de Cádiz","Priscila Martínez Arce",Arquitectura,"Universidad de las Islas Baleares"
"Quitar las restricciones al acceso a instalaciones deportivas Psicología Universidad CEU Cardenal Herrera","León Sanabria Cervera",Agronomía,"Universidad Europea de Valencia"
"Quitar las restricciones al acceso a instalaciones deportivas Medicina Universidad de Alcalá","Erasmo Carbajo Barriga",Veterinaria,"Universidad Internacional de la Empresa"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Comunicación Universidad de Deusto","Chucho Lopez Morán",Derecho,"Universidad Loyola Andalucía"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Físicas y Matemáticas Universidad del País Vasco","Rico Bustamante Marqués",Comunicación,"Universidad Politécnica de Cataluña"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Matemática Universidad de Jaén","Aníbal Laguna Sola","Ciencias Exactas","Universidad de Salamanca"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad de La Coruña","Dimas Calderon Rocha",Psicología,"Universidad de Santiago de Compostela"
"Mejorar Instalaciones deportivas facultad de Ciencias Físicas y Matemáticas Universidad de Oviedo","Josefina Padilla-Saura",Odontología,"Universidad de Jaén"
"Quitar las tarifas de pago en el parking de estudiantes Humanidades CUNEF Universidad","Paulina Garay",Arquitectura,"Universidad Europea Miguel de Cervantes"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad Pablo de Olavide","Noelia del Planas",Veterinaria,"Universidad de Navarra"
"Quitar las tarifas de pago en el parking de estudiantes Filosofía Universidad de Extremadura","Reina Villalba-Jáuregui","Ciencias de la Educación","ESIC Universidad"
"Mejorar Instalaciones deportivas facultad de Ciencias Exactas Universidad Complutense de Madrid","Cosme Pelayo Barros Quesada","Ciencias Exactas","Universidad de Burgos"
"Mejorar Instalaciones deportivas facultad de Filosofía Universidad de Valencia","Chus del Costa",Química,"Universidad de Diseño, Innovación y Tecnología"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias de la Educación Universidad de las Islas Baleares","Ildefonso del Escalona",Ingeniería,"Universidad Pontificia Comillas"
"Quitar las tarifas de pago en el parking de estudiantes Agronomía Universidad Pontificia de Salamanca","Edelmiro Cañellas Ibarra","Ciencias Exactas","Universidad de Córdoba"
"Quitar las tarifas de pago en el parking de estudiantes Información Universidad de Cádiz","Cipriano Guerrero Suarez",Matemática,"Universidad de La Coruña"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad de Oviedo","Odalis Armengol-Carlos",Información,"Universidad Europea de Madrid"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias de la Educación Universidad Intercontinental de la Empresa","Eufemia Cornejo",Derecho,"Universidad Internacional de Cataluña"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Físicas y Matemáticas Universidad Europea Miguel de Cervantes","Roque Gimenez-Viana",Ingeniería,"Universidad Católica San Antonio"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Educación Universidad de Jaén","Andrea Ochoa Dominguez",Agronomía,"Universidad de Mondragón"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias de la Salud Universidad Internacional de la Empresa","Marcos Piñeiro Arteaga",Diseño,"Universidad de Málaga"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Exactas Universidad de las Islas Baleares","Fabián Valera",Comunicación,"Universidad Politécnica de Cataluña"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Físicas y Matemáticas Universidad de Córdoba","Josefina Bonet Palomino",Filosofía,"Universidad Tecnológica Atlántico-Mediterráneo"
"Quitar las tarifas de pago en el parking de estudiantes Comunicación Universidad Internacional Isabel I de Castilla","Natalia Fajardo Salgado","Ciencias Sociales","Universidad de Cantabria"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Humanidades Universidad Antonio de Nebrija","Ignacio Tejero Ayala",Matemática,"Universidad de Diseño, Innovación y Tecnología"
"Quitar las tarifas de pago en el parking de estudiantes Diseño Universidad de Alcalá","Azahara Zamorano Iriarte","Ciencias de la Educación","CUNEF Universidad"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Humanidades Universidad Pablo de Olavide","Eduardo Llorente Exposito",Derecho,"Universidad de Salamanca"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Diseño Universidad de Sevilla","Ruperta Figuerola Tomas","Ciencias Físicas y Matemáticas","Universidad Complutense de Madrid"
"Mejorar Instalaciones deportivas facultad de Filosofía Universidad Internacional de la Empresa","Imelda Mate Agustí",Medicina,"Universidad Politécnica de Madrid"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Veterinaria Universidad de Gerona","Ariel Espada-Pellicer","Ciencias de la Educación","Universidad Europea de Madrid"
"Quitar las restricciones al acceso a instalaciones deportivas Educación Física Universidad Europea del Atlántico","Tomás Chamorro Agullo",Información,"Universidad Europea de Canarias"
"Quitar las tarifas de pago en el parking de estudiantes Información Universidad de Granada","Nydia Florinda Torrijos Catalá","Ciencias de la Educación","Universidad de León"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ingeniería Universidad de Navarra","Natividad Portero-Andreu","Ciencias Económicas","Universidad Fernando III"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Matemática Universidad de La Coruña","Ximena Coronado Manrique","Ciencias Físicas y Matemáticas","Universidad Complutense de Madrid"
"Mejorar Instalaciones deportivas facultad de Química Universidad Autónoma de Madrid","Nerea Llano Viñas","Ciencias Exactas","Universidad Politécnica de Cartagena"
"Mejorar Instalaciones deportivas facultad de Psicología Universidad Internacional Villanueva","Juanita Santos Cáceres",Química,"Universidad Intercontinental de la Empresa"
"Quitar las tarifas de pago en el parking de estudiantes Humanidades Universidad de Cantabria","Ileana Izaguirre Jara","Ciencias Exactas","Universidad Internacional de Cataluña"
"Quitar las tarifas de pago en el parking de estudiantes Ciencias Exactas Universidad de Mondragón","Diana Barrios Marcos",Filosofía,"Universidad Francisco de Vitoria"
"Quitar las tarifas de pago en el parking de estudiantes Ingeniería Universidad de Valladolid","Julieta Valeria Mayo Ripoll",Arquitectura,"CUNEF Universidad"
"Quitar las restricciones al acceso a instalaciones deportivas Humanidades Universidad de Alicante","Damián Casado Lumbreras",Arquitectura,"Universidad Católica Santa Teresa de Jesús de Ávila"
"Mejorar Instalaciones deportivas facultad de Educación Física CUNEF Universidad","Eloy Huguet","Ciencias Económicas","Universidad Loyola Andalucía"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Psicología Universidad Internacional de Valencia","Alma Verdejo Solano","Ciencias de la Educación","Universidad Católica de Valencia San Vicente Mártir"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Química Universidad de Vigo","Adela Bilbao Cobo","Ciencias Económicas","Universidad Católica San Antonio"
"Mejorar Instalaciones deportivas facultad de Medicina Universidad de Málaga","Begoña Marcela Alba Terrón",Arquitectura,"Universidad de Alicante"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Exactas Universidad Abierta de Cataluña","Juan José Santamaría",Medicina,"Universidad Politécnica de Cartagena"
"Quitar las tarifas de pago en el parking de estudiantes Arquitectura Universidad Internacional de Andalucía","Benita Perelló Salinas",Filosofía,"ESIC Universidad"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Sociales Universidad de Málaga","Aníbal Mármol Nieto","Ciencias de la Educación","Universidad Internacional de La Rioja"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Información Universidad del País Vasco","Leonardo Gras Villalobos",Humanidades,"Universidad de Vigo"
"Quitar las tarifas de pago en el parking de estudiantes Agronomía Universidad Francisco de Vitoria","Carlito Tovar Fabregat","Ciencias de la Educación","Universidad Internacional de La Rioja"
"Quitar las tarifas de pago en el parking de estudiantes Medicina Universidad de Navarra","Sara Cabello Chaves",Humanidades,"Universidad Politécnica de Valencia"
"Quitar las restricciones al acceso a instalaciones deportivas Diseño Universidad CEU Cardenal Herrera","Ale Iniesta Abascal",Humanidades,"Universidad CEU Cardenal Herrera"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Veterinaria Universidad de Sevilla","Valentín Río",Medicina,"Universidad Camilo José Cela"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias de la Salud Universidad Autónoma de Barcelona","Anselmo Zapata-Sarmiento",Ingeniería,"Universidad Internacional de Andalucía"
"Quitar las restricciones al acceso a instalaciones deportivas Humanidades Universidad de Córdoba","Gracia Pellicer Lladó","Ciencias Económicas","Universidad Autónoma de Madrid"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Sociales Universidad de Vigo","Quique Crespi Miguel",Agronomía,"Universidad Fernando III"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ingeniería Universidad del País Vasco","Marina Fuertes Acosta",Diseño,"Universidad Internacional Isabel I de Castilla"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Filosofía Universidad de Santiago de Compostela","Pío Bernal Antúnez",Arquitectura,"Universidad de Córdoba"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Educación Física Universidad Politécnica de Madrid","Clara Figueras Correa",Derecho,"Universidad Politécnica de Cataluña"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Matemática Universidad Internacional de Cataluña","Primitivo Zaragoza Torre",Química,"Universidad Abierta de Cataluña"
"Mejorar Instalaciones deportivas facultad de Comunicación Universidad de León","Francisco del Barranco",Veterinaria,"Universidad IE"
"Quitar las restricciones al acceso a instalaciones deportivas Medicina Universidad de Zaragoza","Benito Salinas Avilés",Ingeniería,"Universidad de Vich"
"Mejorar Instalaciones deportivas facultad de Arquitectura Universidad de Burgos","Fidel Puerta Exposito",Información,"Universidad Europea de Canarias"
"Mejorar Instalaciones deportivas facultad de Odontología Universidad Europea del Atlántico","Juliana Torrijos Quintero",Información,"Universidad Europea del Atlántico"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Ciencias Sociales Universidad Loyola Andalucía","Jordán de Macías","Ciencias de la Salud","Universidad San Jorge"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Derecho Universidad Ramon Llull","Roxana Segovia","Educación Física","Universidad de las Islas Baleares"
"Mejorar Instalaciones deportivas facultad de Ciencias Exactas Universidad Loyola Andalucía","Onofre Castro Bermudez",Matemática,"Universidad de Alicante"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Exactas Universidad Autónoma de Barcelona","Marcos Aitor Cuadrado Valls",Veterinaria,"Universidad Internacional de Valencia"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Psicología Universidad de Navarra","Nicanor Román Ros",Humanidades,"Universidad Loyola Andalucía"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Económicas Universidad Politécnica de Valencia","Josep Emilio Verdugo Mendez",Derecho,"Universidad de Vigo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Diseño Universidad de Navarra","Teodora Miralles","Ciencias de la Educación","Universidad de Córdoba"
"Quitar las tarifas de pago en el parking de estudiantes Comunicación Universidad Francisco de Vitoria","Valeria Riba Garriga",Comunicación,"Universidad Pontificia de Salamanca"
"Crear recursos de comunicación para facilitar la convivencia en el campus de Ciencias Exactas Universidad Alfonso X el Sabio","Fito Cerezo Vilar",Odontología,"Universidad Fernando Pessoa-Canarias"
"Quitar las tarifas de pago en el parking de estudiantes Educación Física Universidad Politécnica de Cataluña","Josefina Padilla-Saura",Odontología,"Universidad de Jaén"
"Mejorar Instalaciones deportivas facultad de Información Universidad de Zaragoza","Augusto Gracia Diéguez","Educación Física","Universidad de Alcalá"
"Quitar las restricciones al acceso a instalaciones deportivas Ciencias Físicas y Matemáticas Universidad de Zaragoza","Cloe Marqués Villar",Arquitectura,"Universidad Complutense de Madrid"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Química Universidad CEU San Pablo","Graciano Roberto Crespo Taboada","Ciencias Económicas","Universidad Tecnológica Atlántico-Mediterráneo"
"Mejorar acceso a las instalaciones para gente con discapacidad en la facultad de Educación Física Universidad de Alcalá","Antonio Zabala Peñas",Medicina,"Universidad Internacional de la Empresa"
